AVL
operation,count,total_ns,average_ns
insert,47,15300,325
delete,23,10100,439
find,7,1000,142
traverse,3,13300,4433

Interval Scheduler
operation,count,total_ns,average_ns
add,950,1409500,1483
remove,120,166000,1383
update,130,243700,1874
conflict,150,23200,154
overlaps,150,136500,910
at,150,113500,756
next,150,18400,122
